theta,phi,acc_x,acc_y,acc_z,abs_a,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
116.186,141.752,-1993,1571,-1248,2828.001,-140070,6930,-551040,-13961,-25.566,swipe left
29.796,-6.003,504,-53,885,1019.828,82180,-97020,477190,-3065,35.799,swipe left
23.307,161.125,-351,120,861,937.508,30870,45640,-56000,38817,-137.818,swipe left
47.355,19.571,1997,710,1952,2881.39,-78330,-1540,353220,-22774,27.784,swipe left
57.61,9.103,1997,320,1283,2395.098,91700,43470,-696150,34586,48.507,swipe left
49.836,167.985,-1123,239,969,1502.401,-70980,-117180,491470,-19363,-118.149,swipe left
9.983,165.338,-172,45,1010,1025.528,5250,7630,-20370,21149,-155.355,swipe left
73.523,125.775,-1439,1997,728,2566.849,-88480,-98840,703220,24777,-52.252,swipe left
53.832,0.774,1997,27,1460,2473.931,142800,106330,-765240,7807,53.058,swipe left
17.439,-167.566,-254,-56,828,867.891,-56070,-1260,71680,-39968,185.005,swipe left
7.634,133.652,-83,87,897,905.023,11200,13300,-34860,31587,-126.018,swipe left
48.698,61.417,1088,1997,1998,3027.169,-201390,-179130,642950,-26477,-12.719,swipe left
45.226,7.417,1997,260,1998,2836.831,251790,182280,-808290,4708,37.809,swipe left
35.527,171.142,-539,84,764,938.761,-71050,-20510,221270,-3779,-135.615,swipe left
13.505,153.434,-200,100,931,957.476,-7770,-30940,-16800,34222,-139.929,swipe left
49.106,27.056,1997,1020,1942,2966.441,-23310,-95270,459270,-609,22.05,swipe left
76.568,28.593,1853,1010,504,2169.729,111370,266770,-1008910,-5718,47.975,swipe left
6.527,112.18,-53,130,1227,1235.005,-73010,-145740,588420,-16250,-105.653,swipe left
9.813,-121.772,-96,-155,1054,1069.652,-66150,-4060,-35490,-7566,131.585,swipe left
56.355,17.3,1997,622,1392,2512.48,96320,-59920,-20160,22842,39.055,swipe left
46.931,-159.878,-1998,-732,1989,2912.721,-80640,-31290,51660,-50396,206.809,swipe left
50.567,-12.654,579,-130,488,768.3,57470,110600,164640,40456,63.221,swipe left
10.455,-68.506,76,-193,1124,1142.979,-43400,17990,-100590,21354,78.961,swipe left
46.988,160.692,-1998,700,1975,2895.277,122920,-82320,416640,24937,-113.704,swipe left
56.027,45,1997,1997,1903,3405.499,-74270,48930,-448910,-14862,11.027,swipe left
14.878,-170.942,-345,-55,1315,1360.615,-3150,12390,124110,-27054,185.82,swipe left
12.341,-120.386,-112,-191,1012,1035.938,1960,-4550,-2800,4134,132.727,swipe left
47.217,168.486,-1998,407,1887,2778.204,116060,-51520,423080,25934,-121.269,swipe left
64.866,43.888,1997,1921,1300,3060.759,-115360,168420,-672490,-8821,20.978,swipe left
36.661,-156.405,-854,-373,1252,1560.752,8470,-123410,245070,-7081,193.066,swipe left
18.929,-94.711,-30,-364,1065,1125.886,-24570,-19320,-60900,38226,113.64,swipe left
52.223,163.865,-1998,578,1612,2631.469,138600,-18270,247590,6623,-111.642,swipe left
56.391,45,1997,1997,1877,3391.039,-96110,99540,-338030,-19587,11.391,swipe left
6.802,-155.336,-98,-45,904,910.409,8890,-46270,118440,12896,162.138,swipe left
6.211,-106.654,-35,-117,1122,1128.626,3220,-14840,-1400,14459,112.865,swipe left
94.105,38.031,1997,1562,-182,2541.845,-54600,-13860,343280,22116,56.074,swipe left
66.615,-179.541,-1998,-16,864,2176.868,-64820,28910,-661080,10082,246.156,swipe left
49.393,-137.204,-499,-462,583,895.73,52500,-57330,503510,10605,186.597,swipe left
12.928,-124.679,-128,-185,980,1005.489,-17990,-7630,-9940,10505,137.607,swipe left
88.276,45,1997,1997,85,2825.463,-50260,-12880,57120,15082,43.276,swipe left
97.916,-177.964,-1998,-71,-278,2018.496,-66150,162960,-473970,23057,275.88,swipe left
48.389,-140.473,-812,-670,935,1408.001,150780,-176190,565810,-12690,188.862,swipe left
14.068,-130.189,-185,-219,1144,1179.373,-8260,-4690,-17360,9318,144.257,swipe left
95.058,45,1997,1997,-250,2835.228,-35910,-63910,182070,49883,50.058,swipe left
71.904,138.573,-1565,1381,682,2195.793,-78610,237160,-719670,-842,-66.669,swipe left
