sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,theta_phi,label
249,11000000,1128.034,18.933,179.373,-366,4,1067,1128.034,-16450,23660,70140,38145,110.022,12.205,324.617,-268,72,1135,110.022,-13230,21140,49420,17026,-160.44,swipe right
250,11000000,2460.246,64.452,154.173,-1998,967,1061,2460.246,-98350,-167020,-458500,54566,1332.212,45.519,-25.2,-1632,963,1057,1332.212,-81900,-190680,-528640,16421,-89.721,swipe right
251,11000000,3460.06,54.728,135.014,-1998,1997,1998,3460.06,114450,-352380,1769320,59904,999.814,-9.724,-19.159,0,1030,1031,999.814,212800,-185360,2227820,5338,-80.286,swipe right
252,11000000,1077.348,9.028,-152.525,-150,-78,1064,1077.348,-2030,5250,-18340,19184,-2382.71,-45.7,-287.539,1848,-2075,-933,-2382.71,-116480,357630,-1787660,-40720,161.553,swipe right
257,12000000,1326.285,7.804,-178.09,-180,-6,1314,1326.285,-64680,68810,59150,61863,304.011,0.509,-35.578,-77,73,1393,304.011,-70490,65940,41230,42808,185.894,swipe right
258,12000000,2524.327,81.686,143.12,-1998,1499,365,2524.327,-56000,-11970,-633360,26405,1198.042,73.882,321.21,-1818,1505,371,1198.042,8680,-80780,-692510,-35458,-61.434,swipe right
259,12000000,3460.06,54.728,135.014,-1998,1997,1998,3460.06,-68320,-141400,1698060,19403,935.733,-26.958,-8.106,0,498,499,935.733,-12320,-129430,2331420,-7002,-80.286,swipe right
260,12000000,1405.105,4.885,-48.048,80,-89,1400,1405.105,23730,12810,-40320,48506,-2054.96,-49.843,-183.062,2078,-2086,-597,-2054.96,92050,154210,-1738380,29103,52.933,swipe right
265,13000000,1250.594,34.471,-171.469,-700,-105,1031,1250.594,-2450,46830,60550,39628,205.08,22.297,-18.732,-504,-4,1132,205.08,-3010,56630,55930,28780,205.94,swipe right
266,13000000,2112.98,89.349,109.06,-690,1997,24,2112.98,-102060,-160720,-972930,59894,862.386,54.878,280.529,10,2102,129,862.386,-99610,-207550,-1033480,20266,-19.711,swipe right
267,13000000,2032.084,83.813,171.488,-1998,299,219,2032.084,-189770,107310,-196770,18632,-80.896,-5.536,62.428,-1308,-1698,-1778,-80.896,-87710,268030,776160,-41262,-87.675,swipe right
268,13000000,1021.14,8.471,-125.803,-88,-122,1010,1021.14,-13160,7000,-14700,20935,-1010.94,-75.342,-297.291,1910,-421,711,-1010.94,176610,-100310,182070,2303,134.274,swipe right
273,14000000,1236.816,27.305,-169.026,-557,-108,1099,1236.816,2030,30100,15960,34129,213.007,10.484,-4.892,-272,-27,1180,213.007,0,6230,-53130,1689,196.331,swipe right
